"participant","keep","condition","distribution","skew","generation","trajectory","converged","correct_mapping","produced_mapping","score","nbound","nbound_change","nlabel1","nlabel1_change","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","catsys","optu","optl","optr","optd","catchange"
"cU919743",0,"culture","uniform","no",8,"s1200",FALSE,"1,1,1,0,1,0,1,0,1,0","1,1,1,0,1,1,0,1,0,0",6,5,-2,6,0,0,0,0,1,0,0,1,0,1,1,"0001001011",1,5,2,1,4
"cU912321",0,"culture","uniform","no",3,"s1200",FALSE,"1,1,0,0,0,0,0,1,1,0","0,1,1,1,1,1,0,0,0,1",2,3,0,4,0,1,0,0,0,0,0,1,1,1,0,"1000001110",1,5,5,1,8
"cU737941",0,"culture","uniform","no",10,"s1200",FALSE,"1,1,1,1,1,0,1,1,0,0","1,1,1,1,1,1,1,1,0,0",9,1,-2,8,1,0,0,0,0,0,0,0,0,1,1,"0000000011",3,6,0,3,1
"iR763032",0,"individual","right","yes",6,"s5139",FALSE,"1,0,1,1,0,1,1,1,1,0","1,0,1,1,1,0,1,1,1,0",8,5,0,7,0,1,0,1,1,1,0,1,1,1,0,"1011101110",2,7,5,5,2
"cL974803",0,"culture","left","yes",8,"s4400",FALSE,"1,1,1,1,1,0,0,0,0,1","1,1,1,1,1,0,0,0,0,0",9,1,-1,5,-1,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,1
"iR643497",0,"individual","right","yes",6,"s1123",FALSE,"0,0,0,0,1,0,0,1,1,1","0,0,0,0,1,0,1,1,1,1",9,3,0,5,-1,0,0,0,0,1,0,1,1,1,1,"0000101111",0,4,4,4,1
"iR925144",0,"individual","right","yes",1,"s3416",FALSE,"1,1,0,0,1,1,0,1,0,0","1,0,0,1,1,1,1,1,0,0",7,3,-2,6,1,1,0,0,1,1,1,1,1,0,0,"1001111100",1,7,4,4,3
"cU250949",0,"culture","uniform","no",9,"s1200",FALSE,"1,1,1,0,1,1,0,1,0,0","1,1,1,1,1,0,1,1,0,0",7,3,-2,7,1,0,0,0,0,0,1,0,0,1,1,"0000010011",2,4,2,2,3
"iL308010",0,"individual","left","yes",3,"s1832",FALSE,"0,1,1,1,1,1,0,1,0,0","0,1,1,0,1,0,1,0,0,0",6,6,2,6,2,0,1,1,0,1,0,1,0,0,0,"0110101000",1,2,3,2,4
"cL800677",0,"culture","left","yes",5,"s4400",FALSE,"1,1,0,0,0,0,0,0,1,1","1,1,0,0,1,0,0,0,0,1",8,4,2,4,0,0,0,1,1,0,1,1,1,1,0,"0011011110",1,3,1,3,2
"cL666993",0,"culture","left","yes",1,"s4400",FALSE,"0,1,0,0,1,1,0,1,1,0","1,1,0,0,0,0,0,1,1,1",6,2,-4,5,0,0,0,1,1,1,1,1,0,0,0,"0011111000",0,4,6,4,6
"cU564200",0,"culture","uniform","no",1,"s1200",FALSE,"1,0,0,1,1,0,0,1,1,0","1,1,0,1,0,0,1,1,0,0",6,5,0,5,0,0,0,1,0,1,1,0,0,1,1,"0010110011",0,1,4,0,6
"iR643497",0,"individual","right","yes",1,"s1123",FALSE,"0,0,0,0,1,0,1,1,1,1","0,0,0,0,0,0,1,0,1,1",8,3,0,7,2,0,0,0,0,0,0,1,0,1,1,"0000001011",2,4,2,2,2
"iL242076",0,"individual","left","yes",4,"s9394",FALSE,"0,0,1,1,0,0,1,1,0,1","0,0,1,1,0,0,0,1,0,1",9,5,0,6,1,0,0,1,1,0,0,0,1,0,1,"0011000101",1,3,2,3,1
"iU338909",0,"individual","uniform","no",1,"s3713",FALSE,"1,1,0,0,1,0,0,0,1,1","1,0,1,0,0,1,1,1,1,1",4,4,0,7,2,1,0,1,0,0,1,1,1,1,1,"1010011111",2,5,4,2,6
"iR415143",0,"individual","right","yes",7,"s6813",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,1,0,0,1,1",7,3,2,7,1,0,0,0,0,0,1,0,0,1,1,"0000010011",2,4,2,2,3
"cL812788",0,"culture","left","yes",6,"s3700",FALSE,"0,0,1,1,1,1,1,0,0,0","1,1,1,0,0,0,0,0,0,0",4,1,-1,3,-2,0,0,0,1,1,1,1,1,1,1,"0001111111",2,1,5,1,6
"iU338909",0,"individual","uniform","no",8,"s3713",FALSE,"1,0,1,1,1,1,1,1,1,1","1,0,0,1,1,1,1,1,1,1",9,2,0,8,-1,1,0,0,1,1,1,1,1,1,1,"1001111111",3,9,5,3,1
"iR925144",0,"individual","right","yes",2,"s3416",FALSE,"1,0,0,1,1,1,1,1,0,0","1,0,1,0,0,1,1,1,0,0",7,5,2,5,-1,1,0,1,0,0,1,1,1,0,0,"1010011100",0,5,5,5,3
"cU144845",0,"culture","uniform","no",2,"s900",FALSE,"1,0,1,0,0,0,0,0,1,1","1,1,1,1,1,0,0,0,1,1",7,2,-2,7,3,1,1,1,1,1,0,0,0,1,1,"1111100011",2,4,8,2,3
"iR372838",0,"individual","right","yes",1,"s5335",FALSE,"0,1,0,1,0,0,0,1,1,1","0,0,0,0,0,1,1,1,1,1",6,1,-4,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,4
"iU338909",0,"individual","uniform","no",2,"s3713",FALSE,"1,0,1,0,0,1,1,1,1,1","1,0,0,0,1,0,0,0,0,1",4,4,0,3,-4,1,0,0,0,1,0,0,0,0,1,"1000100001",2,6,6,2,6
"cU188664",0,"culture","uniform","no",5,"s900",FALSE,"0,0,0,0,1,0,1,1,1,1","0,0,0,0,0,0,1,1,1,1",9,1,-2,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,1,1
"iR372838",0,"individual","right","yes",5,"s5335",FALSE,"1,0,0,1,0,1,1,1,1,1","0,1,0,0,0,1,1,1,1,1",7,3,-1,4,-3,0,1,0,0,0,1,1,1,1,1,"0100011111",1,1,3,3,3
"iU308968",0,"individual","uniform","no",5,"s2643",FALSE,"1,1,1,1,0,0,0,1,0,1","1,1,1,1,0,1,0,0,0,1",8,4,0,6,0,1,1,1,1,0,1,0,0,0,1,"1111010001",1,3,5,1,2
"iR432012",0,"individual","right","yes",6,"s4870",FALSE,"0,1,1,0,0,0,1,1,1,0","0,1,1,0,0,1,1,1,1,0",9,4,0,4,-1,0,1,1,0,0,1,1,1,1,0,"0110011110",1,2,3,3,1
"iR372838",0,"individual","right","yes",8,"s5335",FALSE,"1,0,0,0,0,0,1,1,1,1","1,0,0,0,0,1,1,1,1,1",9,2,0,6,1,1,0,0,0,0,1,1,1,1,1,"1000011111",1,9,3,3,1
"iR415143",0,"individual","right","yes",8,"s6813",FALSE,"0,0,0,0,0,1,0,0,1,1","0,0,0,0,0,0,1,1,1,1",7,1,-2,6,-1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,2,3
"cL149001",0,"culture","left","yes",9,"s4400",TRUE,"1,1,1,1,1,0,0,0,0,0","1,1,1,1,1,0,0,0,0,0",10,1,0,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,0
"iR643497",0,"individual","right","yes",7,"s1123",FALSE,"0,0,0,0,1,0,1,1,1,1","0,0,0,0,0,1,1,1,1,1",8,1,-2,5,0,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,3,2
"iL308010",0,"individual","left","yes",1,"s1832",FALSE,"0,1,0,1,1,0,1,0,1,0","0,1,1,1,0,1,0,0,0,0",5,4,-4,6,1,0,1,1,1,0,1,0,0,0,0,"0111010000",1,1,3,1,5
"iR763032",0,"individual","right","yes",3,"s5139",FALSE,"1,1,1,1,0,0,1,0,1,1","1,1,1,1,0,0,1,1,0,1",8,4,0,7,0,1,1,1,1,0,0,1,1,0,1,"1111001101",2,4,6,6,2
"cU151198",0,"culture","uniform","no",4,"s900",FALSE,"1,0,0,1,1,1,1,1,1,1","0,0,0,0,1,0,1,1,1,1",7,3,1,5,-3,0,0,0,0,1,0,1,1,1,1,"0000101111",0,4,4,0,3
"cL215117",0,"culture","left","yes",7,"s4400",FALSE,"1,1,1,1,0,1,0,0,0,1","1,1,1,1,1,0,0,0,0,1",8,2,-2,6,0,0,0,0,0,0,1,1,1,1,0,"0000011110",1,7,1,7,2
"cL144709",0,"culture","left","yes",1,"s4200",FALSE,"0,1,1,0,1,0,1,1,0,0","0,1,1,0,1,0,0,0,1,0",7,6,0,6,1,1,0,0,1,0,1,1,1,0,1,"1001011101",1,7,6,7,7
"iU308968",0,"individual","uniform","no",1,"s2643",FALSE,"0,0,1,1,0,1,1,1,0,0","0,1,0,1,0,1,1,0,1,0",6,8,4,5,0,0,1,0,1,0,1,1,0,1,0,"0101011010",0,4,2,0,4
"iL242076",0,"individual","left","yes",1,"s9394",FALSE,"0,1,0,0,1,1,1,0,0,1","0,0,1,1,0,1,1,0,0,1",6,5,0,5,0,0,0,1,1,0,1,1,0,0,1,"0011011001",0,2,1,2,4
"iL373860",0,"individual","left","yes",5,"s9879",FALSE,"1,1,0,0,0,0,1,1,1,0","0,0,1,0,1,0,1,1,1,0",6,6,3,5,0,0,0,1,0,1,0,1,1,1,0,"0010101110",0,3,2,3,4
"iR432012",0,"individual","right","yes",2,"s4870",FALSE,"0,0,1,1,0,0,0,1,0,0","0,1,0,0,1,0,0,1,0,0",6,6,2,7,0,0,1,0,0,1,0,0,1,0,0,"0100100100",2,3,2,2,4
"iR643497",0,"individual","right","yes",2,"s1123",FALSE,"0,0,0,0,0,0,1,0,1,1","0,0,0,0,1,0,1,0,1,1",9,5,2,6,-1,0,0,0,0,1,0,1,0,1,1,"0000101011",1,4,4,4,1
"iR643497",0,"individual","right","yes",8,"s1123",FALSE,"0,0,0,0,0,1,1,1,1,1","0,1,1,1,1,0,1,1,0,1",4,5,4,3,-2,0,1,1,1,1,0,1,1,0,1,"0111101101",2,3,3,3,6
"iU308968",0,"individual","uniform","no",7,"s2643",FALSE,"1,1,1,0,0,0,0,0,0,1","1,1,1,0,0,0,0,0,1,1",9,2,0,5,1,1,1,1,0,0,0,0,0,1,1,"1110000011",0,4,6,0,1
"iR432012",0,"individual","right","yes",1,"s4870",FALSE,"1,0,1,0,1,0,0,1,1,0","0,0,1,1,0,0,0,1,0,0",6,4,-3,7,2,0,0,1,1,0,0,0,1,0,0,"0011000100",2,4,3,3,4
"iR763032",0,"individual","right","yes",5,"s5139",FALSE,"1,1,1,0,1,1,0,1,1,0","1,0,1,1,0,1,1,1,1,0",6,5,0,7,0,1,0,1,1,0,1,1,1,1,0,"1011011110",2,6,5,5,4
"iU308968",0,"individual","uniform","no",8,"s2643",FALSE,"1,1,1,0,0,0,0,0,1,1","1,1,1,0,0,0,0,0,0,1",9,2,0,4,-1,1,1,1,0,0,0,0,0,0,1,"1110000001",1,3,7,1,1
"cL121090",0,"culture","left","yes",5,"s3700",FALSE,"0,1,1,1,1,1,1,0,0,0","0,0,1,1,1,1,1,0,0,0",9,2,0,5,1,1,1,0,0,0,0,0,1,1,1,"1100000111",0,6,4,6,1
"cU948973",0,"culture","uniform","no",7,"s1200",FALSE,"1,1,0,0,0,1,1,1,1,0","1,1,1,0,1,0,1,0,1,0",6,7,4,6,0,0,0,0,1,0,1,0,1,0,1,"0001010101",1,2,2,1,4
"iL308010",0,"individual","left","yes",6,"s1832",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,0,0,0,0,0,0",8,2,0,7,2,0,1,1,1,0,0,0,0,0,0,"0111000000",2,0,6,0,2
"iR415143",0,"individual","right","yes",4,"s6813",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,0,1,1,1",9,1,0,7,1,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,1,1
"cU696938",0,"culture","uniform","no",6,"s1200",FALSE,"1,0,1,0,1,0,1,1,0,0","1,1,0,0,0,1,1,1,1,0",5,3,-4,6,1,0,0,1,1,1,0,0,0,0,1,"0011100001",1,4,2,1,5
"iU338909",0,"individual","uniform","no",3,"s3713",FALSE,"1,0,0,0,1,0,0,0,0,1","1,0,1,0,0,1,1,1,1,1",4,4,0,7,4,1,0,1,0,0,1,1,1,1,1,"1010011111",2,5,4,2,6
"iL242076",0,"individual","left","yes",7,"s9394",FALSE,"0,0,0,1,0,0,1,0,0,1","0,0,1,1,0,1,0,0,0,1",7,5,0,6,-1,0,0,1,1,0,1,0,0,0,1,"0011010001",1,1,1,1,3
"cL455549",0,"culture","left","yes",3,"s4200",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,1,1,1,0,1,0",8,4,2,3,-2,1,0,0,0,0,0,0,1,0,1,"1000000101",2,7,6,7,2
"cU927570",0,"culture","uniform","no",8,"s900",FALSE,"0,0,0,1,0,0,0,1,1,1","0,0,0,0,0,1,1,1,1,1",7,1,-2,5,-1,0,0,0,0,0,1,1,1,1,1,"0000011111",0,3,3,0,3
"cU333316",0,"culture","uniform","no",7,"s900",FALSE,"0,0,0,0,1,0,0,1,1,1","0,0,0,1,0,0,0,1,1,1",8,3,0,6,0,0,0,0,1,0,0,0,1,1,1,"0001000111",1,2,4,1,2
"iR763032",0,"individual","right","yes",4,"s5139",FALSE,"1,1,1,1,0,0,1,1,0,1","1,1,1,0,1,1,0,1,1,0",4,5,1,7,0,1,1,1,0,1,1,0,1,1,0,"1110110110",2,3,6,6,6
"iU338909",0,"individual","uniform","no",7,"s3713",FALSE,"1,0,1,1,1,0,0,0,1,1","1,0,1,1,1,1,1,1,1,1",7,2,-2,9,3,1,0,1,1,1,1,1,1,1,1,"1011111111",4,8,6,4,3
"cL609912",0,"culture","left","yes",9,"s4200",TRUE,"1,1,1,1,1,1,1,0,0,0","1,1,1,1,1,1,1,0,0,0",10,1,0,7,0,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,5,0
"cL457885",0,"culture","left","yes",8,"s4200",FALSE,"1,1,1,1,1,1,0,0,0,0","1,1,1,1,1,1,1,0,0,0",9,1,0,7,1,0,0,0,0,0,0,0,1,1,1,"0000000111",2,5,1,5,1
"cL996552",0,"culture","left","yes",8,"s3700",FALSE,"1,1,0,1,0,0,0,0,0,0","1,1,1,0,1,0,0,0,0,0",7,3,0,4,1,0,0,0,1,0,1,1,1,1,1,"0001011111",1,3,3,3,3
"cL172052",0,"culture","left","yes",6,"s4200",FALSE,"1,1,1,0,0,1,1,0,0,0","1,1,1,0,0,1,0,1,0,0",8,5,2,5,0,0,0,0,1,1,0,1,0,1,1,"0001101011",0,5,3,5,2
"cL721417",0,"culture","left","yes",10,"s3700",TRUE,"1,1,0,0,0,0,0,0,0,0","1,1,0,0,0,0,0,0,0,0",10,1,0,2,0,0,0,1,1,1,1,1,1,1,1,"0011111111",3,0,6,0,0
"cL816235",0,"culture","left","yes",7,"s4200",FALSE,"1,1,1,0,0,1,0,1,0,0","1,1,1,1,1,1,0,0,0,0",7,1,-4,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,4,3
"iR372838",0,"individual","right","yes",3,"s5335",FALSE,"1,0,1,1,1,0,1,1,1,1","1,0,1,0,1,1,1,1,1,1",8,4,0,8,0,1,0,1,0,1,1,1,1,1,1,"1010111111",3,4,4,4,2
"iU338909",0,"individual","uniform","no",6,"s3713",FALSE,"1,0,1,1,0,0,0,0,1,1","1,0,1,1,1,0,0,0,1,1",9,4,0,6,1,1,0,1,1,1,0,0,0,1,1,"1011100011",1,5,4,1,1
"iL373860",0,"individual","left","yes",6,"s9879",FALSE,"0,0,1,0,1,0,1,1,1,0","1,1,0,0,0,0,0,1,1,1",4,2,-4,5,0,1,1,0,0,0,0,0,1,1,1,"1100000111",0,6,4,6,6
"cU545650",0,"culture","uniform","no",10,"s900",TRUE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,0,0,1,1,1,1",10,1,0,6,0,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,1,0
"iL373860",0,"individual","left","yes",7,"s9879",FALSE,"1,1,0,0,0,0,0,1,1,1","0,0,1,1,1,1,0,1,1,1",4,3,1,3,-2,0,0,1,1,1,1,0,1,1,1,"0011110111",2,3,3,3,6
"iR415143",0,"individual","right","yes",3,"s6813",FALSE,"0,0,0,0,0,1,0,1,1,1","0,0,0,0,0,0,1,1,1,1",8,1,-2,6,0,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,2,2
"iL308010",0,"individual","left","yes",4,"s1832",FALSE,"0,1,1,0,1,0,1,0,0,0","0,0,1,1,0,1,0,0,0,0",5,4,-2,7,1,0,0,1,1,0,1,0,0,0,0,"0011010000",2,2,3,2,5
"cL861236",0,"culture","left","yes",2,"s4200",FALSE,"0,1,1,0,1,0,0,0,1,0","0,1,1,1,1,1,0,0,0,0",7,2,-4,5,-1,1,0,0,0,0,0,1,1,1,1,"1000001111",0,8,2,8,3
"cL392754",0,"culture","left","yes",4,"s4200",FALSE,"0,1,1,1,1,1,1,0,1,0","1,1,1,0,1,1,1,1,1,0",7,3,-1,8,5,0,0,0,1,0,0,0,0,0,1,"0001000001",3,4,2,4,3
"cU312918",0,"culture","uniform","no",6,"s900",FALSE,"0,0,0,0,0,0,1,1,1,1","0,0,0,0,1,0,0,1,1,1",8,3,2,6,0,0,0,0,0,1,0,0,1,1,1,"0000100111",1,4,4,1,2
"cL597799",0,"culture","left","yes",5,"s4200",FALSE,"1,1,1,0,1,1,1,1,1,0","1,1,1,0,0,1,1,0,0,0",7,3,0,5,-3,0,0,0,1,1,0,0,1,1,1,"0001100111",0,3,3,3,3
"cL258544",0,"culture","left","yes",7,"s3700",FALSE,"1,1,1,0,0,0,0,0,0,0","1,1,0,1,0,0,0,0,0,0",8,3,2,3,0,0,0,1,0,1,1,1,1,1,1,"0010111111",2,2,4,2,2
"cU236329",0,"culture","uniform","no",9,"s900",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,0,1,1,1,1",9,1,0,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,1,1
"iL242076",0,"individual","left","yes",3,"s9394",FALSE,"0,0,1,0,0,0,1,1,0,1","0,0,1,1,0,0,1,1,0,1",9,5,0,5,-1,0,0,1,1,0,0,1,1,0,1,"0011001101",0,4,1,4,1
"iR643497",0,"individual","right","yes",3,"s1123",FALSE,"0,0,0,0,1,0,1,0,1,1","1,0,1,0,1,0,0,0,1,0",6,7,2,4,-2,1,0,1,0,1,0,0,0,1,0,"1010100010",1,6,8,8,4
"iR415143",0,"individual","right","yes",6,"s6813",FALSE,"0,0,0,0,1,1,0,1,1,1","0,0,0,0,0,0,1,1,1,1",7,1,-2,6,1,0,0,0,0,0,0,1,1,1,1,"0000001111",1,4,2,2,3
"iR643497",0,"individual","right","yes",4,"s1123",FALSE,"1,0,1,0,1,0,0,0,1,0","1,1,1,0,1,0,1,0,1,0",8,7,0,6,2,1,1,1,0,1,0,1,0,1,0,"1110101010",1,6,6,6,2
"iR372838",0,"individual","right","yes",2,"s5335",FALSE,"0,0,0,0,0,1,1,1,1,1","1,0,1,1,1,0,1,1,1,1",5,4,3,8,3,1,0,1,1,1,0,1,1,1,1,"1011101111",3,5,3,3,5
"cL512176",0,"culture","left","yes",1,"s3700",FALSE,"0,1,1,1,1,1,0,0,0,0","0,1,1,1,1,1,1,1,0,0",8,2,0,3,-2,1,0,0,0,0,0,0,0,1,1,"1000000011",2,6,4,6,8
"iL373860",0,"individual","left","yes",1,"s9879",FALSE,"0,1,0,1,0,1,1,0,1,0","0,0,1,1,1,1,0,1,0,0",4,4,-4,5,0,0,0,1,1,1,1,0,1,0,0,"0011110100",0,3,1,3,6
"iU308968",0,"individual","uniform","no",6,"s2643",FALSE,"1,1,1,1,0,1,0,0,0,1","1,1,1,0,0,0,0,0,0,1",8,2,-2,4,-2,1,1,1,0,0,0,0,0,0,1,"1110000001",1,3,7,1,2
"iR415143",0,"individual","right","yes",2,"s6813",FALSE,"0,0,0,0,0,1,1,1,1,1","0,0,0,0,0,1,0,1,1,1",9,3,2,6,1,0,0,0,0,0,1,0,1,1,1,"0000010111",1,3,3,3,1
"iR432012",0,"individual","right","yes",8,"s4870",FALSE,"0,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1,1,1,1,0",8,4,0,3,0,0,1,1,0,1,1,1,1,1,0,"0110111110",2,1,2,2,2
"iL308010",0,"individual","left","yes",7,"s1832",FALSE,"0,1,1,1,0,0,0,0,0,0","0,1,1,1,1,0,0,0,0,0",9,2,0,6,-1,0,1,1,1,1,0,0,0,0,0,"0111100000",1,1,7,1,1
